"report-tcs-rfile"
"Iteration" "report-tcs"
("Iteration" "report-tcs(tc1)" "report-tcs(tc2)" "report-tcs(tc3)" "report-tcs(tc4)" "report-tcs(tc5)" "report-tcs(tc6)")
1 241.0553283691406 247.0544586181641 250.4980621337891 253.6585998535156 255.5167388916016 258.1138305664063
2 240.5001525878906 246.0357818603516 249.3976287841797 252.5788879394531 254.5159912109375 257.7164916992188
3 240.1702575683594 245.4688415527344 248.8372192382813 252.1361846923828 254.0083312988281 257.3499145507813
4 239.8975524902344 245.2509307861328 248.5230102539063 251.7861328125 253.5716705322266 256.97216796875
5 239.681640625 244.9544830322266 248.1999664306641 251.5514221191406 253.2850036621094 256.778076171875
6 239.495361328125 244.6906890869141 247.9322662353516 251.3935089111328 253.0486145019531 256.6022644042969
7 239.3409423828125 244.4462738037109 247.6833801269531 251.2837371826172 252.8597259521484 256.4755554199219
8 239.2057037353516 244.19384765625 247.4199066162109 251.1777801513672 252.6756744384766 256.3472290039063
9 239.1484985351563 244.1340637207031 247.4091033935547 251.3650512695313 252.7925262451172 256.5119934082031
10 239.0550384521484 243.8701782226563 247.1191864013672 251.2710876464844 252.6310424804688 256.4044799804688
11 238.9941101074219 243.6558074951172 246.8927612304688 251.2464599609375 252.5275573730469 256.311767578125
12 238.9632415771484 243.4939117431641 246.7249298095703 251.2875671386719 252.495849609375 256.2857666015625
13 238.9316253662109 243.2972259521484 246.5050201416016 251.2969512939453 252.4478607177734 256.2332153320313
14 238.9168395996094 243.1484222412109 246.3484191894531 251.3675537109375 252.4578552246094 256.2161560058594
15 238.9317169189453 243.08837890625 246.3284454345703 251.6573333740234 252.7276153564453 256.482666015625
16 238.9062194824219 242.9297332763672 246.1304016113281 251.6870727539063 252.7095947265625 256.4161376953125
17 238.890380859375 242.7910003662109 245.9679412841797 251.7790679931641 252.7736358642578 256.4251403808594
18 238.8798217773438 242.675048828125 245.8336334228516 251.9039459228516 252.8764495849609 256.4663696289063
19 238.8868103027344 242.6168212890625 245.7736511230469 252.1175231933594 253.0799560546875 256.6063232421875
20 238.8741302490234 242.4897003173828 245.6235198974609 252.2344360351563 253.193359375 256.6566772460938
21 238.8731689453125 242.4018249511719 245.5163269042969 252.3871459960938 253.3417053222656 256.7257690429688
22 238.8792266845703 242.3538208007813 245.4884796142578 252.6554565429688 253.6105041503906 256.887939453125
23 238.8671417236328 242.2666625976563 245.3519592285156 252.748779296875 253.7190856933594 256.9551696777344
24 238.8695373535156 242.2368774414063 245.3229370117188 252.9757385253906 253.959228515625 257.1115417480469
25 238.8602447509766 242.1514587402344 245.2065582275391 253.0973052978516 254.0966796875 257.1773986816406
26 238.862548828125 242.1095886230469 245.1537017822266 253.2773590087891 254.2880859375 257.2881469726563
27 238.8595733642578 242.0577697753906 245.1025085449219 253.4566497802734 254.4702758789063 257.3646240234375
28 238.8562927246094 242.0028228759766 245.0086822509766 253.5598754882813 254.5917816162109 257.4632873535156
29 238.8554992675781 241.9675598144531 244.9603881835938 253.7025756835938 254.7311553955078 257.5339965820313
30 238.8589782714844 241.9445343017578 244.9293518066406 253.8618011474609 254.8880004882813 257.6353149414063
31 238.8563690185547 241.9090576171875 244.8780364990234 253.9761962890625 254.9915008544922 257.7060546875
32 238.8566131591797 241.8885498046875 244.8494567871094 254.1067962646484 255.1022644042969 257.7752380371094
33 238.8522796630859 241.8599395751953 244.8085021972656 254.2078094482422 255.1781768798828 257.8362121582031
34 238.8533172607422 241.8468322753906 244.7913818359375 254.3196716308594 255.2537231445313 257.8838500976563
35 238.8515472412109 241.8243255615234 244.758544921875 254.4021301269531 255.2993316650391 257.9324645996094
36 238.8527984619141 241.8147125244141 244.7474212646484 254.4902191162109 255.3381042480469 257.95654296875
