"r_rc_tcs"
"Iteration" "rc_tcs"
("Iteration" "rc_tcs(rca)" "rc_tcs(rcb)" "rc_tcs(rcc)" "rc_tcs(rcd)")
1 255.6661376953125 255.6536254882812 255.6458282470703 255.6468200683594
2 257.3494567871094 257.2165832519531 257.2188110351562 257.2021789550781
3 259.4058837890625 259.0443420410156 259.0975646972656 259.0259094238281
4 262.4671325683594 262.6880187988281 262.8431091308594 262.6044616699219
5 265.3231201171875 264.9713745117188 265.2614440917969 265.3461303710938
6 269.7655639648438 268.1546020507812 267.8081665039062 268.4217224121094
7 270.8613586425781 269.5143432617188 268.7100524902344 268.88134765625
8 272.0758666992188 270.5992126464844 269.8644714355469 269.4785461425781
9 273.2428894042969 272.1518249511719 271.3442077636719 270.5016479492188
10 273.5245361328125 272.7745361328125 271.9773559570312 270.9844360351562
11 273.79443359375 273.3565368652344 272.5580139160156 271.4364318847656
12 274.4386596679688 274.4035339355469 273.5621032714844 272.2202758789062
13 274.9429016113281 275.0641174316406 274.1015930175781 272.5455932617188
14 275.4601440429688 275.8023376464844 274.886962890625 273.2564086914062
15 275.5025024414062 275.7994689941406 274.9283752441406 273.4493103027344
16 275.9455871582031 276.370849609375 275.5119018554688 273.8974304199219
17 276.0207824707031 276.3731994628906 275.5417175292969 274.049560546875
18 276.1219482421875 276.4977416992188 275.7131958007812 274.2472229003906
19 276.3531799316406 276.7349548339844 275.994140625 274.5076904296875
20 276.48828125 276.8525390625 276.0921630859375 274.437255859375
21 276.636474609375 276.9295043945312 276.2871398925781 274.8066101074219
22 276.7332153320312 276.9873046875 276.3959350585938 274.8720397949219
23 276.8343200683594 277.0345764160156 276.5242919921875 275.0412902832031
24 276.9139709472656 277.0521850585938 276.5776977539062 275.1464233398438
25 276.9702758789062 277.0556640625 276.5949401855469 275.2240905761719
26 277.0091552734375 277.0587463378906 276.5903015136719 275.2847290039062
27 277.0339660644531 277.0542907714844 276.5652770996094 275.327880859375
28 277.0368957519531 277.0285034179688 276.5198364257812 275.3458557128906
29 277.0309448242188 277.0184631347656 276.481201171875 275.3359680175781
30 276.7525329589844 276.7567443847656 276.1888732910156 275.1212768554688
31 276.7867126464844 276.7661743164062 276.2067260742188 275.1929931640625
32 276.6927490234375 276.677978515625 276.0929260253906 275.1481018066406
33 276.7047119140625 276.6687622070312 276.075439453125 275.1753845214844
34 276.6856994628906 276.6399536132812 276.0251159667969 275.1566162109375
