"r_v_avg"
"Iteration" "slots_v"
("Iteration" "slots_v(fluid_slot_1_mat_air:1)" "slots_v(fluid_slot_2_mat_air:1)" "slots_v(fluid_slot_3_mat_air:1)" "slots_v(fluid_slot_4_mat_air:1)" "slots_v(fluid_slot_5_mat_air:1)" "slots_v(fluid_slot_6_mat_air:1)" "slots_v(fluid_slot_7_mat_air:600)" "slots_v(fluid_slot_8_mat_air:601)")
1 0.06333517005258506 0.06771218148721574 0.05355727023339212 0.05535911068186664 0.04427907076686363 0.04472392381927327 0.03130505350545765 0.03069322068599122
2 0.2140238372024431 0.2398776106732073 0.3507018253701052 0.3606582529026433 0.2904025902357522 0.2982470847742985 0.1613114840516752 0.1599328856688824
3 0.3908469219807639 0.4219312136894581 0.5491717991966538 0.5597031460271206 0.485787125833082 0.4932900695788933 0.3039777726389714 0.3041804699699559
4 0.6298151812688673 0.656609435385978 0.7381810150481165 0.7499736281817199 0.65868485294363 0.668201476416625 0.4326228101594503 0.4327865581952496
5 0.8154847421541699 0.8417856019191871 0.8861669816597422 0.8973352030708489 0.8008851999681532 0.8109408877683777 0.5514536014575241 0.5513753952066506
6 0.9803704661623384 1.003927440430261 1.009837802000813 1.020693130366002 0.9192830203294382 0.9301500813583351 0.655274870160978 0.6554450924645375
7 1.110567982588347 1.131536890997544 1.110173542922452 1.119776072475697 1.013416095026463 1.024202493004146 0.7459191722085631 0.7465421579790735
8 1.214609970773526 1.234181366747259 1.189145280810889 1.197421030325089 1.089335487072762 1.099678360123096 0.8241011960001504 0.8250620738069974
9 1.284718378216577 1.301655766957367 1.247433454102966 1.253348293985429 1.150722091770678 1.159413901834415 0.8950483538592576 0.8958282902173779
10 1.33756334324921 1.35197484547973 1.290833800440188 1.294880750779546 1.197138698330353 1.204449886430358 0.952685971602274 0.9535866490722129
11 1.375040113137083 1.387176016158866 1.324715514282202 1.326953691878938 1.23439536765259 1.240480667733846 1.002877647431672 1.003684947948002
12 1.387247600651499 1.393032774647898 1.342083721043063 1.341017399618162 1.262829897739018 1.267033772073513 1.048343923307235 1.048957542537711
13 1.373601450882886 1.374568241160063 1.336423963624396 1.333239771916567 1.274327720609911 1.277220448776943 1.087468918269653 1.087758678547856
14 1.390548392695949 1.390626497808926 1.353201737598434 1.349201227547819 1.292224078271691 1.294391419044935 1.117820000313589 1.118021150393392
15 1.390722734761284 1.386666885608719 1.356552641747443 1.351077185754675 1.302314045272536 1.303691485640255 1.145387708447349 1.145421237246869
16 1.37940870732555 1.369977481672481 1.354693634004491 1.347522687696099 1.312408214949736 1.312985055333977 1.175889353616115 1.175857906799552
17 1.380935689322227 1.371039625585685 1.358023307551011 1.350603441976149 1.317399992965376 1.317470233369209 1.195062010128786 1.194895735634203
18 1.374637826020039 1.362981119684819 1.357435848434334 1.349140434023883 1.322356788035826 1.32187511953712 1.213864563492938 1.213640034408336
19 1.368693026303692 1.35730266981829 1.357159272761917 1.348488129154109 1.325547455576801 1.324634989442155 1.229654866292131 1.229373370706567
20 1.362467388815221 1.351124141362043 1.356084197051074 1.347080763864647 1.328078248993354 1.326777936385255 1.243381690313417 1.243075344044324
21 1.356492021214935 1.345041897777738 1.354964690411213 1.345789379823621 1.33046845098577 1.328836211368995 1.255893824503892 1.255571194799192
22 1.350971658809269 1.338322021089902 1.353544485039951 1.344400034807474 1.332360568359602 1.330461777799271 1.266955885084599 1.266637567717701
23 1.345612320896836 1.329454117237755 1.351524418215033 1.342808186141016 1.333929470115707 1.331897761690911 1.276855264526167 1.276579754004456
