time	flx	max_v	min_t	vol fraction
0	0.0000	0.0000000	298.00	483204.0
1	-18.0190	0.0032957	269.83	482577.8
2	-7.8051	0.0012798	269.57	481546.9
3	-7.9835	0.0006705	269.47	481289.1
4	-7.7479	0.0004138	269.52	480942.8
5	-7.7145	0.0002394	269.45	480560.4
6	-6.7531	0.0010430	269.48	480225.3
7	-5.3052	0.0005094	269.47	479979.7
8	-4.8402	0.0004293	269.41	479858.7
9	-4.7491	0.0002902	269.40	479794.3
10	-4.6535	0.0003271	269.38	479756.3
11	-4.6250	0.0001841	269.38	479722.4
12	-4.5985	0.0002392	269.38	479694.7
13	-4.5441	0.0002908	269.39	479671.6
14	-4.5356	0.0001633	269.39	479649.8
15	-4.5309	0.0002725	269.39	479630.6
16	-4.5280	0.0003354	269.39	479613.3
17	-4.5180	0.0003521	269.36	479595.5
18	-4.5018	0.0003717	269.37	479579.5
19	-4.4869	0.0003377	269.37	479564.4
20	-4.4836	0.0002266	269.36	479550.7
21	-4.4804	0.0002007	269.37	479538.8
22	-4.4761	0.0001860	269.37	479529.9
23	-4.4735	0.0002332	269.37	479521.4
24	-4.4705	0.0000757	269.36	479514.1
25	-4.4713	0.0000799	269.36	479507.6
26	-4.4728	0.0003704	269.37	479503.5
27	-4.4710	0.0002497	269.37	479497.7
28	-4.4711	0.0002945	269.37	479490.0
29	-4.4681	0.0002653	269.38	479482.8
30	-4.4666	0.0003038	269.38	479475.6
31	-4.4634	0.0002725	269.38	479467.5
32	-4.4618	0.0002726	269.38	479459.3
33	-4.4595	0.0004356	269.38	479452.1
34	-4.4580	0.0004277	269.38	479444.9
35	-4.4569	0.0002757	269.36	479437.2
36	-4.4581	0.0002762	269.37	479429.1
37	-4.4584	0.0002732	269.37	479422.4
38	-4.4586	0.0003040	269.37	479414.9
39	-4.4572	0.0002791	269.37	479407.4
40	-4.4587	0.0002760	269.37	479399.7
41	-4.4554	0.0002925	269.36	479392.8
42	-4.4553	0.0002775	269.36	479385.1
43	-4.4542	0.0002788	269.37	479378.2
44	-4.4546	0.0002764	269.37	479372.1
45	-4.4556	0.0002736	269.37	479364.6
46	-4.4574	0.0003154	269.37	479358.2
47	-4.4580	0.0002803	269.37	479352.2
48	-4.4541	0.0002780	269.37	479345.5
49	-4.4509	0.0002752	269.37	479340.1
50	-4.4469	0.0002754	269.37	479333.4
51	-4.4436	0.0003289	269.37	479326.3
52	-4.4412	0.0003013	269.37	479321.0
53	-4.4384	0.0003994	269.37	479315.6
54	-4.4363	0.0002791	269.37	479307.9
55	-4.4335	0.0002992	269.37	479301.7
56	-4.4343	0.0003419	269.37	479296.3
57	-4.4345	0.0003630	269.37	479291.6
58	-4.4351	0.0002907	269.37	479286.4
59	-4.4350	0.0003054	269.37	479282.4
60	-4.4351	0.0003033	269.37	479278.9
61	-4.4352	0.0004369	269.37	479276.4
62	-4.4356	0.0002957	269.37	479273.5
63	-4.4360	0.0002915	269.37	479271.0
64	-4.4365	0.0002945	269.37	479269.0
65	-4.4356	0.0002953	269.37	479266.8
66	-4.4342	0.0002916	269.37	479264.5
67	-4.4339	0.0002953	269.37	479262.6
68	-4.4330	0.0002968	269.37	479260.0
69	-4.4325	0.0003222	269.37	479257.0
70	-4.4284	0.0002940	269.37	479253.8
71	-4.4249	0.0002958	269.37	479251.8
72	-4.4252	0.0003156	269.37	479250.2
73	-4.4223	0.0002942	269.37	479248.2
74	-4.4227	0.0003056	269.37	479247.3
75	-4.4230	0.0002970	269.37	479246.6
76	-4.4214	0.0002926	269.37	479245.5
77	-4.4217	0.0002954	269.37	479244.9
78	-4.4221	0.0002960	269.37	479243.9
79	-4.4223	0.0002922	269.37	479243.1
80	-4.4212	0.0002957	269.37	479241.8
81	-4.4204	0.0003194	269.37	479240.4
82	-4.4205	0.0003222	269.37	479240.2
83	-4.4206	0.0002942	269.37	479239.8
84	-4.4207	0.0002959	269.37	479239.3
85	-4.4205	0.0003066	269.37	479237.9
86	-4.4206	0.0002942	269.37	479236.5
87	-4.4208	0.0003164	269.37	479234.4
88	-4.4209	0.0002969	269.37	479231.8
89	-4.4209	0.0002926	269.37	479229.3
90	-4.4214	0.0002954	269.37	479227.3
91	-4.4206	0.0002961	269.37	479224.8
92	-4.4210	0.0002923	269.37	479223.6
93	-4.4188	0.0002958	269.37	479221.4
94	-4.4140	0.0002973	269.37	479219.9
95	-4.4086	0.0003223	269.37	479218.2
96	-4.4090	0.0002944	269.37	479217.1
97	-4.4052	0.0002962	269.37	479216.1
98	-4.4054	0.0003066	269.37	479215.3
99	-4.4059	0.0002944	269.37	479214.1
100	-4.4052	0.0002970	269.37	479213.2
101	-4.4057	0.0002972	269.37	479212.0
102	-4.4056	0.0002928	269.37	479211.6
103	-4.4055	0.0002956	269.37	479211.1
104	-4.4055	0.0002963	269.37	479210.1
105	-4.4056	0.0002925	269.37	479208.8
106	-4.4056	0.0002961	269.37	479207.9
107	-4.4029	0.0002975	269.37	479205.9
108	-4.4020	0.0003223	269.37	479203.8
109	-4.3988	0.0002876	269.37	479202.8
110	-4.3989	0.0002834	269.37	479202.6
111	-4.3988	0.0002797	269.37	479202.3
112	-4.3989	0.0002520	269.37	479201.3
113	-4.3988	0.0002881	269.37	479200.8
114	-4.3989	0.0002081	269.37	479200.4
115	-4.3995	0.0001992	269.37	479198.9
116	-4.3977	0.0001751	269.37	479197.4
117	-4.3981	0.0001869	269.37	479196.7
118	-4.3952	0.0002293	269.37	479195.1
119	-4.3915	0.0001590	269.37	479193.1
120	-4.3894	0.0001456	269.37	479191.3
121	-4.3884	0.0002310	269.37	479190.7
122	-4.3887	0.0002664	269.37	479190.4
123	-4.3887	0.0002105	269.37	479190.0
124	-4.3886	0.0001619	269.37	479189.3
125	-4.3888	0.0001919	269.37	479188.1
126	-4.3887	0.0001983	269.37	479187.3
127	-4.3889	0.0001750	269.37	479186.9
128	-4.3888	0.0001321	269.37	479186.7
129	-4.3889	0.0001596	269.37	479186.4
130	-4.3888	0.0002420	269.37	479186.3
131	-4.3889	0.0001455	269.37	479186.2
132	-4.3889	0.0002310	269.37	479186.0
133	-4.3891	0.0001326	269.37	479185.8
134	-4.3894	0.0002105	269.37	479185.2
135	-4.3894	0.0001208	269.37	479184.5
136	-4.3896	0.0001919	269.37	479183.5
137	-4.3897	0.0001176	269.37	479183.1
138	-4.3898	0.0001750	269.37	479183.0
139	-4.3898	0.0002293	269.37	479183.0
140	-4.3899	0.0001596	269.37	479183.0
141	-4.3898	0.0001124	269.37	479182.6
142	-4.3902	0.0001463	269.37	479181.6
143	-4.3901	0.0002309	269.37	479180.2
144	-4.3902	0.0001876	269.37	479177.9
145	-4.3903	0.0002104	269.37	479176.4
146	-4.3903	0.0001208	269.37	479175.6
147	-4.3903	0.0001983	269.37	479175.0
148	-4.3903	0.0001099	269.37	479174.8
149	-4.3904	0.0001749	269.37	479174.6
150	-4.3904	0.0001247	269.37	479174.4
151	-4.3904	0.0002160	269.37	479174.2
152	-4.3904	0.0001319	269.37	479173.8
153	-4.3904	0.0002371	269.37	479173.8
154	-4.3904	0.0001446	269.37	479173.8
155	-4.3904	0.0001707	269.37	479173.6
156	-4.3905	0.0001726	269.37	479173.2
157	-4.3905	0.0001392	269.37	479172.6
158	-4.3905	0.0001902	269.37	479172.2
159	-4.3901	0.0001202	269.37	479171.9
160	-4.3901	0.0002293	269.37	479171.9
161	-4.3901	0.0002039	269.37	479171.9
162	-4.3903	0.0001637	269.37	479171.7
163	-4.3903	0.0001540	269.37	479171.7
164	-4.3904	0.0001127	269.37	479171.3
165	-4.3875	0.0001846	269.37	479170.5
166	-4.3856	0.0001190	269.37	479169.8
167	-4.3860	0.0002074	269.37	479169.2
168	-4.3860	0.0001982	269.37	479169.1
169	-4.3860	0.0000999	269.37	479168.8
170	-4.3865	0.0001527	269.37	479167.9
171	-4.3822	0.0001669	269.37	479167.1
172	-4.3822	0.0001856	269.37	479165.3
173	-4.3823	0.0001191	269.37	479164.9
174	-4.3823	0.0001000	269.37	479164.7
175	-4.3823	0.0001183	269.37	479164.3
176	-4.3823	0.0001707	269.37	479163.9
177	-4.3823	0.0001481	269.37	479163.0
178	-4.3823	0.0001089	269.37	479161.9
179	-4.3823	0.0002197	269.37	479161.6
180	-4.3824	0.0001514	269.37	479161.6
181	-4.3823	0.0002292	269.37	479161.5
182	-4.3824	0.0002062	269.37	479161.5
183	-4.3824	0.0001419	269.37	479161.4
184	-4.3824	0.0001463	269.38	479160.9
185	-4.3824	0.0002003	269.38	479160.8
186	-4.3824	0.0001377	269.38	479160.9
187	-4.3824	0.0000998	269.38	479160.8
188	-4.3824	0.0001878	269.38	479160.8
189	-4.3825	0.0001291	269.38	479160.7
190	-4.3824	0.0000990	269.38	479160.7
191	-4.3825	0.0001824	269.38	479160.7
192	-4.3827	0.0001254	269.38	479160.4
193	-4.3826	0.0000991	269.38	479160.2
194	-4.3828	0.0002694	269.38	479159.4
195	-4.3828	0.0001945	269.38	479158.8
196	-4.3828	0.0001567	269.38	479158.0
197	-4.3830	0.0002244	269.38	479156.3
198	-4.3831	0.0002013	269.38	479155.9
199	-4.3831	0.0001372	269.38	479155.6
200	-4.3831	0.0001296	269.38	479155.3
201	-4.3832	0.0002479	269.38	479155.3
202	-4.3833	0.0001830	269.38	479155.2
203	-4.3833	0.0002005	269.38	479155.2
204	-4.3833	0.0001937	269.38	479155.2
205	-4.3833	0.0001705	269.38	479155.0
206	-4.3839	0.0000995	269.38	479153.9
207	-4.3844	0.0000932	269.38	479152.8
208	-4.3838	0.0000914	269.38	479151.5
209	-4.3824	0.0001012	269.38	479150.4
210	-4.3831	0.0001532	269.38	479149.6
211	-4.3812	0.0001787	269.38	479148.9
212	-4.3814	0.0001034	269.38	479148.1
213	-4.3773	0.0000981	269.38	479147.2
214	-4.3749	0.0002014	269.38	479146.3
215	-4.3751	0.0002229	269.38	479145.8
216	-4.3752	0.0000934	269.38	479145.8
217	-4.3752	0.0001336	269.38	479145.8
218	-4.3752	0.0002043	269.38	479145.8
219	-4.3753	0.0001009	269.38	479145.7
220	-4.3753	0.0001113	269.38	479145.7
221	-4.3754	0.0001494	269.38	479145.7
222	-4.3753	0.0001010	269.38	479145.6
223	-4.3754	0.0001620	269.38	479145.5
224	-4.3753	0.0001126	269.38	479145.5
225	-4.3754	0.0002148	269.38	479145.3
226	-4.3755	0.0001639	269.38	479145.1
227	-4.3755	0.0002115	269.38	479145.0
228	-4.3755	0.0001042	269.38	479145.0
229	-4.3755	0.0000995	269.38	479145.0
230	-4.3755	0.0000956	269.38	479145.0
231	-4.3755	0.0001034	269.38	479144.9
232	-4.3758	0.0001553	269.38	479144.5
233	-4.3760	0.0001643	269.38	479144.3
234	-4.3760	0.0001009	269.38	479144.3
235	-4.3743	0.0002015	269.38	479143.8
236	-4.3747	0.0001403	269.38	479143.1
237	-4.3727	0.0002603	269.38	479142.5
238	-4.3694	0.0000973	269.38	479141.8
239	-4.3697	0.0001535	269.38	479141.3
240	-4.3699	0.0001036	269.38	479141.1
241	-4.3700	0.0002078	269.38	479140.6
242	-4.3697	0.0001500	269.38	479140.3
243	-4.3684	0.0000991	269.38	479140.0
244	-4.3684	0.0002003	269.38	479140.0
245	-4.3684	0.0001346	269.38	479139.9
246	-4.3685	0.0000982	269.38	479139.9
247	-4.3686	0.0001984	269.38	479139.7
248	-4.3690	0.0001302	269.38	479139.1
249	-4.3679	0.0001177	269.38	479138.3
250	-4.3657	0.0001781	269.38	479137.2
251	-4.3641	0.0001252	269.38	479136.1
